"Date","asian","black","mixed","white","other"
"2009",147624,219101,42649,894178,20129
"2010",140035,210053,37539,831689,18403
"2011",123673,177849,35076,779484,15593
"2012",92248,121919,28690,708268,12324
"2013",73604,102033,24541,640678,11609
"2014",42296,63704,15352,375720,7374
"2015",35601,58426,12390,226447,5476
"2016",29035,55050,10500,169476,4386
"2017",28792,54389,10469,147324,4661
"2018",41472,70648,13014,187761,6457
