"Year","Asian","Black","Mixed","Other","White"
2009,71.8,72.7,71.1,74,78.7
2010,76.4,76,75.3,81.9,81.3
2011,78.1,78.6,77.4,81.1,82.8
2012,78.3,79.1,78.4,82.8,84
2013,73.4,76.1,75.7,82,81.5
2014,74.3,76.7,75.8,79.8,81.6
2015,77.6,79.6,77.4,84.4,84.3
2016,80.5,80.6,81.2,81.3,86
2017,80.3,78.7,79,81.1,85.3
